# Ucuzabak kategori ağacı (export: 2026-03-31T22:36:03.993Z)
# Toplam kayıt: 690
# Satır formatı: [derinlik] Ad | slug: ... | id: ... | aktif: evet/hayır | sortOrder: ...

■ Elektronik | slug: elektronik | id: 691 | aktif: evet | sortOrder: 10
    └ Projeksiyon Cihazı | slug: elektronik-ofis-elektronigi-projeksiyon-cihazi | id: 1187 | aktif: evet | sortOrder: 10
    └ Evrak İmha Makinesi | slug: elektronik-ofis-elektronigi-evrak-i-mha-makinesi | id: 1188 | aktif: evet | sortOrder: 20
■ Beyaz Eşya | slug: beyaz-esya | id: 692 | aktif: evet | sortOrder: 20
  └ Buzdolabı | slug: buzdolabi | id: 707 | aktif: evet | sortOrder: 10
    └ No-Frost Bölmeler | slug: buzdolabi-no-frost-bolmeler | id: 974 | aktif: evet | sortOrder: 10
    └ Buzluk & Saklama Kapları | slug: buzdolabi-buzluk-ve-saklama-kaplari | id: 975 | aktif: evet | sortOrder: 20
  └ Çamaşır Makinesi | slug: camsasir-makinesi | id: 708 | aktif: evet | sortOrder: 20
    └ Tambur Temizleyici | slug: camsasir-makinesi-tambur-temizleyici | id: 976 | aktif: evet | sortOrder: 10
    └ Makine Bakım Kimyasalları | slug: camsasir-makinesi-makine-bakim-kimyasallari | id: 977 | aktif: evet | sortOrder: 20
  └ Bulaşık Makinesi | slug: bulasik-makinesi | id: 709 | aktif: evet | sortOrder: 30
    └ Temizlik Tabletleri | slug: bulasik-makinesi-temizlik-tabletleri | id: 978 | aktif: evet | sortOrder: 10
    └ Durulama & Parlatıcı | slug: bulasik-makinesi-durulama-ve-parlatici | id: 979 | aktif: evet | sortOrder: 20
  └ Fırın | slug: firin | id: 710 | aktif: evet | sortOrder: 40
    └ Fırın Tepsi & Aksesuarları | slug: firin-firin-tepsi-ve-aksesuarlari | id: 980 | aktif: evet | sortOrder: 10
    └ Fırın Temizliği | slug: firin-firin-temizligi | id: 981 | aktif: evet | sortOrder: 20
  └ Kurutma Makinesi | slug: kurutma-makinesi | id: 711 | aktif: evet | sortOrder: 50
    └ Filtre & Aksesuarlar | slug: kurutma-makinesi-filtre-ve-aksesuarlar | id: 982 | aktif: evet | sortOrder: 10
    └ Kurutma Bakım Ürünleri | slug: kurutma-makinesi-kurutma-bakim-urunleri | id: 983 | aktif: evet | sortOrder: 20
  └ Derin Dondurucu | slug: derin-dondurucu | id: 712 | aktif: evet | sortOrder: 60
    └ Dondurucu Saklama Kapları | slug: derin-dondurucu-dondurucu-saklama-kaplari | id: 984 | aktif: evet | sortOrder: 10
    └ Dondurucu Aksesuarları | slug: derin-dondurucu-dondurucu-aksesuarlari | id: 985 | aktif: evet | sortOrder: 20
  └ Mikrodalga | slug: beyaz-esya-mikrodalga | id: 1189 | aktif: evet | sortOrder: 70
    └ Solo Mikrodalga | slug: beyaz-esya-mikrodalga-solo-mikrodalga | id: 1190 | aktif: evet | sortOrder: 10
    └ Ankastre Mikrodalga | slug: beyaz-esya-mikrodalga-ankastre-mikrodalga | id: 1191 | aktif: evet | sortOrder: 20
  └ Davlumbaz | slug: beyaz-esya-davlumbaz | id: 1192 | aktif: evet | sortOrder: 80
    └ Eğimli Davlumbaz | slug: beyaz-esya-davlumbaz-egimli-davlumbaz | id: 1193 | aktif: evet | sortOrder: 10
    └ Teleskopik Davlumbaz | slug: beyaz-esya-davlumbaz-teleskopik-davlumbaz | id: 1194 | aktif: evet | sortOrder: 20
  └ Klima | slug: beyaz-esya-klima | id: 1195 | aktif: evet | sortOrder: 90
